ItemID,ProductID,ProductName,BriefDescription,Price,WholesalePrice,ListPrice,UnitsInStock,UnitsSold,ImageURL,Category,Details,Thumbnail,FormFields,IsFeatured,ShippingCosts,Weight,TimesViewed,SupplierID,ChargeTaxes,ChargeShipping,ShowQuantity,CanBackOrder,egoodfilename,listoptions,showprice,showwsprice,showlistprice,showvoldiscounts,showimage,showaddtocartbutton,showtitle,issubscription,Permissions,NeverExpires,ExpireSelect,SimilarItems,DateAdded,ShipsAlone,sku,brand,subof,status,isgift,Expireson,rating,availability,reviews,mfg,upc,ImportKey,fordervalue,casepack,oneclickordering,,,
538052,SW12,Contoured Treasure Chest Key,Contoured Treasure Chest Key,0,,,999,0,sw12-promokeez.jpg,^940^,,sw12-promokeez.jpg,NULL,No,0,1,43,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW12,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538052,NULL,No,,,
538053,SW13,Import Style Key,Import Style Key,0,,,999,0,sw13-promokeez.jpg,^940^,,sw13-promokeez.jpg,NULL,No,0,1,46,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,No,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW13,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538053,NULL,No,,,
538054,SW14,GM Style Key,GM Style Key,0,,,999,0,sw14-promokeez.jpg,^940^,,sw14-promokeez.jpg,NULL,No,0,1,49,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW14,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538054,NULL,No,,,
538055,SW15,Factory Duplicate,Factory Duplicate,0,,,999,0,sw15-promokeez.jpg,^940^,,sw15-promokeez.jpg,NULL,No,0,1,54,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW15,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538055,NULL,No,,,
538056,SW2,GM Style Brass Key,GM Style Brass Key,0,,,999,0,sw2-promokeez.jpg,^941^,,sw2-promokeez.jpg,NULL,No,0,1,27,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW2,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538056,NULL,No,,,
538057,SW3,Ford Style Key,Ford Style Key,0,,,999,0,sw3-promokeez.jpg,^941^,,sw3-promokeez.jpg,NULL,No,0,1,37,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW3,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538057,NULL,No,,,
538058,SW4,Chrysler Style Key,Chrysler Style Key,0,,,999,0,sw4-promokeez.jpg,^941^,,sw4-promokeez.jpg,NULL,No,0,1,25,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW4,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538058,NULL,No,,,
538059,SW5,GM Style Key,GM Style Key,0,,,999,0,sw5-promokeez.jpg,^941^,,sw5-promokeez.jpg,NULL,No,0,1,32,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW5,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538059,NULL,No,,,
538060,SW6,Factory Style Key,Factory Style Key,0,,,999,0,sw6-promokeez.jpg,^941^,,sw6-promokeez.jpg,NULL,No,0,1,32,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW6,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538060,NULL,No,,,
538061,SW10,House Key,House Key,0,,,999,0,sw10-promokeez.jpg,^941^,,sw10-promokeez.jpg,NULL,No,0,1,36,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW10,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538061,NULL,No,,,
538062,SW7,Plastic Head Key,Plastic Head Key,0,,,999,0,sw7-promokeez.jpg,^942^,,sw7-promokeez.jpg,NULL,No,0,1,119,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW7,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538062,NULL,No,,,
538063,SW16,Universal ATV Key,Universal ATV Key,0,,,999,0,sw16-promokeez.jpg,^942^,,sw16-promokeez.jpg,NULL,No,0,1,109,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW16,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538063,NULL,No,,,
538064,SW17,Safe Deposit Box Key,Safe Deposit Box Key,0,,,999,0,sw17-promokeez.jpg,^942^,,sw17-promokeez.jpg,NULL,No,0,1,116,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW17,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538064,NULL,No,,,
538065,SW18,Boat Key,Boat Key,0,,,999,0,sw18-promokeez.jpg,^942^,,sw18-promokeez.jpg,NULL,No,0,1,117,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW18,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538065,NULL,No,,,
538066,SW72,Plastic Head Key,Plastic Head Key,0,,,999,0,sw72-promokeez.jpg,^942^,,sw72-promokeez.jpg,NULL,No,0,1,119,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW72,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538066,NULL,No,,,
538067,SW74,Plastic Head Key,Plastic Head Key,0,,,999,0,sw74-promokeez.jpg,^942^,,sw74-promokeez.jpg,NULL,No,0,1,115,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW74,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538067,NULL,No,,,
538068,SW10-Numbered,House Key - Numbered,House Key - Numbered,0,,,999,0,sw10-numbered-promokeez.jpg,^943^,,sw10-numbered-promokeez.jpg,NULL,No,0,1,75,0,Yes,Yes,Yes,Yes,None,NULL,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW10-Numbered,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538068,NULL,No,,,
538069,SW11-Numbered,Flat Treasure Chest Key - Numbered,Flat Treasure Chest Key - Numbered,0,,,999,0,sw11-numbered-promokeez.jpg,^943^,,sw11-numbered-promokeez.jpg,NULL,No,0,1,66,0,Yes,Yes,Yes,Yes,None,NULL,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW11-Numbered,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538069,NULL,No,,,
538070,SW19,Key with Etched Logo,Key with Etched Logo,0,,,999,0,sw19-etched-promokeez.jpg,|0|,,sw19-etched-promokeez.jpg,NULL,No,0,1,69,0,Yes,Yes,Yes,Yes,None,Yes,Yes,No,No,Yes,Yes,Yes,Yes,no,NULL,NULL,NULL,NULL,1/29/2009,NULL,SW19,,,active,No,NULL,NULL,,NULL,,NULL,NULL,538070,NULL,No,,,
538071,R1I-Blue,Blue Color Key,Blue Color Key,0,,,999,0,r1i-blue-promokeez.jpg,^943^,,r1i-blue-promokeez.jpg,NULL,No,0,1,64,0,Yes,Yes,Yes,Yes,None,NULL,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,R1I-Blue,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538071,NULL,No,,,
538072,R1I-Green,Green Color Key,Green Color Key,0,,,999,0,r1i-green-promokeez.jpg,^943^,,r1i-green-promokeez.jpg,NULL,No,0,1,60,0,Yes,Yes,Yes,Yes,None,NULL,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,R1I-Green,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538072,NULL,No,,,
538073,R1I-Purple,Purple Color Key,Purple Color Key,0,,,999,0,r1i-purple-promokeez.jpg,^943^,,r1i-purple-promokeez.jpg,NULL,No,0,1,60,0,Yes,Yes,Yes,Yes,None,NULL,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,R1I-Purple,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538073,NULL,No,,,
538074,R1I-Red,Red Color Key`,Red Color Key,0,,,999,0,r1i-red-promokeez.jpg,^943^,,r1i-red-promokeez.jpg,NULL,No,0,1,67,0,Yes,Yes,Yes,Yes,None,NULL,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,R1I-Red,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538074,NULL,No,,,
538075,R1I-Black,Black Color Key,Black Color Key,0,,,999,0,r1i-black-promokeez.jpg,^943^,,r1i-black-promokeez.jpg,NULL,No,0,1,63,0,Yes,Yes,Yes,Yes,None,NULL,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,R1I-Black,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538075,NULL,No,,,
538076,R55-Pink,Pink Color Key,Pink Color Key,0,,,999,0,r55-pink-promokeez.jpg,^943^,,r55-pink-promokeez.jpg,NULL,No,0,1,71,0,Yes,Yes,Yes,Yes,None,NULL,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,R55-Pink,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538076,NULL,No,,,
538077,Skeleton Key,Skeleton Key,Skeleton Key,0,,,999,0,skeleton-key-promokeez.jpg,^943^,,skeleton-key-promokeez.jpg,NULL,No,0,1,77,0,Yes,Yes,Yes,Yes,None,NULL,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/29/2009,NULL,Skeleton Key,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538077,NULL,No,,,
538078,D08-100,Argus Digital Camera,Available With 9.99 S&H or 13.99 S&H,0,,,999,0,D08-100.JPG,^936^,<p>&nbsp;</p>,D08-100.JPG,NULL,No,0,1,62,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/30/2009,NULL,D08-100,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538078,NULL,No,,,
538079,D08-130,DVD Player,DVD Player redemption Certificate.,0,,,999,0,D08-130.JPG,^936^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">DVD Player redemption Certificate.</span></span></p>""",D08-130.JPG,NULL,No,0,1,61,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/30/2009,NULL,D08-130,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538079,NULL,No,,,
538080,D08-135,MP3 Player,Coby MP3 Player Redemption Certificate. Simple redemption process.,0,,,999,0,D08-135.JPG,^936^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Coby MP3 Player Redemption Certificate. </span></span></p>""",D08-135.JPG,NULL,No,0,1,53,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/30/2009,NULL,D08-135,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538080,NULL,No,,,
538081,D08-173,George Foreman Grill,George Foreman Grill Redemption Certificate. Easy to follow redemption process.,0,,,999,0,D08-173.JPG,^936^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">George Foreman Grill Redemption Certificate. </span></span></p>""",D08-173.JPG,NULL,No,0,1,57,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/30/2009,NULL,D08-173,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538081,NULL,No,,,
538082,D08-178,Golf or Spa Certificate,Enjoy a trip to the spa or the course on us.,0,,,999,0,D08-178.JPG,^937^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Enjoy a trip to the spa or the course on us.</span></span></p>""",D08-178.JPG,NULL,No,0,1,49,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/30/2009,NULL,D08-178,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538082,NULL,No,,,
538083,08-212,Your Choice Getaway,Your choice getaway vacation package.,0,,,999,0,08-212.JPG,^937^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Your choice getaway vacation package.</span></span></p>""",08-212.JPG,NULL,No,0,1,72,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/30/2009,NULL,08-212,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538083,NULL,No,,,
538084,08-117,Dream Vacation,Dream Vacation with Four Destination Choices.,0,,,999,0,08-117.JPG,^937^,"<p style=text-align: center""><span style=""font-size: large""><span style=""font-family: Times New Roman"">Dream Vacation with Four Destination Choices.</span></span></p>""",08-117.JPG,NULL,No,0,1,80,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,1/30/2009,NULL,08-117,,,active,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538084,NULL,No,,,
538085,18-Jan,Car Care Kit,* Shampoo & scrubber mitt,0,,,999,0,010-carwk.gif,0,<p>* Shampoo &amp; scrubber mitt<br />,010-carwk.gif,NULL,No,0,1,102,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,2/1/2009,NULL,18-Jan,,,inactive,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538085,NULL,No,,,
538086,21-14,25pc Toolkit Flashlight,Stylish shape with a powerful spotlight,5.28,,,999,0,21-14.jpg,|932|,"<p style=padding-right: 10px"">Stylish shape with a powerful spotlight</p>""",21-14.jpg,NULL,No,0,1,151,0,Yes,Yes,Yes,Yes,None,Yes,No,No,No,Yes,Yes,Yes,Yes,no,NULL,NULL,NULL,NULL,2/1/2009,NULL,21-14,,,active,No,NULL,NULL,,NULL,,NULL,NULL,538086,20,No,,,
538087,Dec-98,4pc Stainless Steel Coffee Set,1 stainless steel vacuum flask (.5 Liter). 2 stainless steel mugs (14 Oz.). All stored in a zippered carry bag. Ideal for travel and picnics. Retail $49.95,10.2,,49.95,999,0,4pcstainlessset.jpg,|923|,<p>1 stainless steel vacuum flask (.5 Liter). 2 stainless steel mugs (14 Oz.). All stored in a zippered carry bag. Ideal for travel and picnics.</p>,4pcstainlessset.jpg,NULL,No,0,1,160,0,Yes,Yes,Yes,Yes,None,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,no,NULL,NULL,NULL,NULL,2/1/2009,NULL,Dec-98,,,active,No,NULL,NULL,,NULL,,NULL,NULL,538087,12,No,,,

